player1,player2,winner,win_method,player1_move_time,player2_move_time,player1_turns,player2_turns,total_turns,total_game_time
Group1,Group2,Group1,WIN,211.096,0.002,44,43,87,213.145
Group1,Group3,Group1,WIN,216.008,170.206,45,44,89,748.787
Group1,Group4,Group1,WIN,142.366,75.886,30,29,59,220.087
Group1,Group5,Group5,WIN,166.808,193.702,34,34,68,373.823
Group1,Group6,Group6,WIN,54.006,11.544,12,12,24,69.982
Group1,Group100,Group100,WIN,161.882,141.054,33,33,66,624.025
Group2,Group1,Group1,WIN,0.001,157.003,32,32,64,158.704
Group2,Group3,Group3,WIN,0.001,154.467,35,35,70,577.425
Group2,Group4,Group2,WIN,0.002,109.875,56,55,111,111.691
Group2,Group5,Group5,WIN,0.001,188.045,36,36,72,201.117
Group2,Group6,Group6,WIN,0.001,54.129,23,23,46,107.734
Group2,Group100,Group100,WIN,0.001,120.356,31,31,62,383.621
Group3,Group1,Group3,WIN,111.612,103.009,22,21,43,419.348
Group3,Group2,Group3,WIN,111.725,0.001,23,22,45,264.148
Group3,Group4,Group3,WIN,145.282,62.735,25,24,49,516.914
Group3,Group5,Group3,WIN,131.555,50.195,29,28,57,478.49
Group3,Group6,Group6,WIN,142.427,22.738,27,27,54,363.57
Group3,Group100,Group3,WIN,132.23,113.781,32,31,63,728.787
Group4,Group1,Group1,WIN,247.538,230.613,47,47,94,481.184
Group4,Group2,Group4,WIN,20.397,0.0,12,11,23,20.754
Group4,Group3,Group3,WIN,22.04,126.865,29,29,58,427.546
Group4,Group5,Group5,WIN,192.149,150.102,42,42,84,356.03
Group4,Group6,Group6,WIN,24.71,5.489,12,12,24,33.104
Group4,Group100,Group100,WIN,52.647,62.036,22,22,44,257.932
Group5,Group1,Group1,WIN,191.54,176.695,36,36,72,384.079
Group5,Group2,Group5,WIN,123.412,0.003,56,55,111,140.331
Group5,Group3,Group3,WIN,90.839,131.737,37,37,74,478.753
Group5,Group4,Group5,WIN,84.821,91.42,36,35,71,190.137
Group5,Group6,Group6,WIN,58.514,15.69,21,21,42,91.57
Group5,Group100,Group100,WIN,72.011,114.066,33,33,66,492.073
Group6,Group1,Group1,WIN,73.088,181.499,38,38,76,297.867
Group6,Group2,Group6,WIN,69.919,0.002,39,38,77,108.178
Group6,Group3,Group6,WIN,18.376,104.963,23,22,45,267.535
Group6,Group4,Group6,WIN,18.513,84.962,33,32,65,117.272
Group6,Group5,Group6,WIN,36.032,82.351,41,40,81,152.567
Group6,Group100,Group6,WIN,35.622,130.951,44,43,87,440.447
Group100,Group1,Group1,WIN,101.692,176.949,36,36,72,502.013
Group100,Group2,Group100,WIN,89.398,0.001,31,30,61,314.781
Group100,Group3,Group3,WIN,91.256,88.197,30,30,60,518.756
Group100,Group4,Group100,WIN,99.045,68.344,46,45,91,498.125
Group100,Group5,Group100,WIN,101.439,52.4,42,41,83,405.485
Group100,Group6,Group6,WIN,77.979,18.797,24,24,48,245.969
